stage_event_id,application_id,stage_name,stage_date,stage_status,drop_reason
1,1,Resume Screening,2024-05-24,Rejected,Experience mismatch
2,2,Resume Screening,2024-10-12,Rejected,Experience mismatch
3,3,Resume Screening,2024-10-03,Selected,
4,3,Technical Interview,2024-10-05,Selected,
5,3,Managerial Interview,2024-10-11,Selected,
6,3,HR Interview,2024-10-14,Selected,
7,3,Offer Made,2024-10-19,Accepted,
8,3,Joined,2024-10-24,Joined,
9,4,Resume Screening,2024-09-25,Selected,
10,4,Technical Interview,2024-09-27,Rejected,Technical gap
11,5,Resume Screening,2024-04-24,Rejected,Skill mismatch
12,6,Resume Screening,2024-08-15,Selected,
13,6,Technical Interview,2024-08-18,Selected,
14,6,Managerial Interview,2024-08-25,Selected,
15,6,HR Interview,2024-08-28,Selected,
16,6,Offer Made,2024-09-04,Accepted,
17,6,Joined,2024-09-10,Joined,
18,7,Resume Screening,2024-05-08,Selected,
19,7,Technical Interview,2024-05-10,Selected,
20,7,Managerial Interview,2024-05-17,Selected,
21,7,HR Interview,2024-05-20,Rejected,Location constraint
22,8,Resume Screening,2024-04-16,Selected,
23,8,Technical Interview,2024-04-19,Rejected,Technical gap
24,9,Resume Screening,2024-07-07,Rejected,Profile not relevant
25,10,Resume Screening,2024-07-14,Rejected,Profile not relevant
26,11,Resume Screening,2024-03-17,Rejected,Profile not relevant
27,12,Resume Screening,2024-12-19,Selected,
28,12,Technical Interview,2024-12-26,Selected,
29,12,Managerial Interview,2024-12-30,Selected,
30,12,HR Interview,2025-01-05,Selected,
31,12,Offer Made,2025-01-11,Accepted,
32,12,Joined,2025-01-17,Joined,
33,13,Resume Screening,2024-09-23,Rejected,Experience mismatch
34,14,Resume Screening,2024-07-12,Selected,
35,14,Technical Interview,2024-07-16,Selected,
36,14,Managerial Interview,2024-07-23,Rejected,Team fit issue
37,15,Resume Screening,2024-05-31,Selected,
38,15,Technical Interview,2024-06-07,Selected,
39,15,Managerial Interview,2024-06-14,Selected,
40,15,HR Interview,2024-06-16,Selected,
41,15,Offer Made,2024-06-20,Accepted,
42,15,Joined,2024-06-25,Joined,
43,16,Resume Screening,2024-09-01,Selected,
44,16,Technical Interview,2024-09-07,Selected,
45,16,Managerial Interview,2024-09-12,Selected,
46,16,HR Interview,2024-09-16,Selected,
47,16,Offer Made,2024-09-23,Declined,Better offer
48,17,Resume Screening,2024-03-16,Rejected,Experience mismatch
49,18,Resume Screening,2024-07-27,Selected,
50,18,Technical Interview,2024-08-02,Selected,
51,18,Managerial Interview,2024-08-06,Selected,
52,18,HR Interview,2024-08-08,Selected,
53,18,Offer Made,2024-08-11,Accepted,
54,18,Joined,2024-08-13,Joined,
55,19,Resume Screening,2024-06-04,Selected,
56,19,Technical Interview,2024-06-07,Selected,
57,19,Managerial Interview,2024-06-13,Selected,
58,19,HR Interview,2024-06-15,Rejected,Notice period issue
59,20,Resume Screening,2024-06-02,Selected,
60,20,Technical Interview,2024-06-08,Rejected,Low problem-solving
61,21,Resume Screening,2024-03-18,Selected,
62,21,Technical Interview,2024-03-22,Rejected,Low problem-solving
63,22,Resume Screening,2024-09-26,Selected,
64,22,Technical Interview,2024-09-28,Selected,
65,22,Managerial Interview,2024-10-01,Rejected,Team fit issue
66,23,Resume Screening,2024-02-25,Rejected,Profile not relevant
67,24,Resume Screening,2024-04-13,Selected,
68,24,Technical Interview,2024-04-17,Selected,
69,24,Managerial Interview,2024-04-20,Selected,
70,24,HR Interview,2024-04-23,Selected,
71,24,Offer Made,2024-04-30,Accepted,
72,24,Joined,2024-05-06,Joined,
73,25,Resume Screening,2024-10-31,Selected,
74,25,Technical Interview,2024-11-06,Rejected,Domain mismatch
75,26,Resume Screening,2024-12-15,Selected,
76,26,Technical Interview,2024-12-21,Selected,
77,26,Managerial Interview,2024-12-25,Selected,
78,26,HR Interview,2024-12-28,Selected,
79,26,Offer Made,2025-01-02,Accepted,
80,26,Joined,2025-01-09,Joined,
81,27,Resume Screening,2024-02-17,Selected,
82,27,Technical Interview,2024-02-23,Selected,
83,27,Managerial Interview,2024-02-25,Selected,
84,27,HR Interview,2024-03-02,Selected,
85,27,Offer Made,2024-03-07,Accepted,
86,27,Joined,2024-03-13,Joined,
87,28,Resume Screening,2024-10-04,Selected,
88,28,Technical Interview,2024-10-06,Selected,
89,28,Managerial Interview,2024-10-11,Selected,
90,28,HR Interview,2024-10-15,Selected,
91,28,Offer Made,2024-10-19,Accepted,
92,28,Joined,2024-10-22,Joined,
93,29,Resume Screening,2024-09-20,Selected,
94,29,Technical Interview,2024-09-26,Selected,
95,29,Managerial Interview,2024-09-29,Selected,
96,29,HR Interview,2024-10-03,Selected,
97,29,Offer Made,2024-10-08,Accepted,
98,29,Joined,2024-10-10,Joined,
99,30,Resume Screening,2024-12-28,Selected,
100,30,Technical Interview,2025-01-02,Selected,
101,30,Managerial Interview,2025-01-07,Selected,
102,30,HR Interview,2025-01-11,Selected,
103,30,Offer Made,2025-01-18,Accepted,
104,30,Joined,2025-01-23,Joined,
105,31,Resume Screening,2024-01-21,Rejected,Experience mismatch
106,32,Resume Screening,2024-03-30,Rejected,Skill mismatch
107,33,Resume Screening,2024-08-07,Selected,
108,33,Technical Interview,2024-08-10,Selected,
109,33,Managerial Interview,2024-08-15,Rejected,Project mismatch
110,34,Resume Screening,2024-08-05,Rejected,Profile not relevant
111,35,Resume Screening,2024-01-31,Selected,
112,35,Technical Interview,2024-02-02,Selected,
113,35,Managerial Interview,2024-02-05,Selected,
114,35,HR Interview,2024-02-09,Selected,
115,35,Offer Made,2024-02-12,Accepted,
116,35,Joined,2024-02-15,Joined,
117,36,Resume Screening,2024-11-14,Rejected,Skill mismatch
118,37,Resume Screening,2024-05-26,Rejected,Experience mismatch
119,38,Resume Screening,2024-07-02,Selected,
120,38,Technical Interview,2024-07-05,Selected,
121,38,Managerial Interview,2024-07-12,Rejected,Team fit issue
122,39,Resume Screening,2024-11-05,Selected,
123,39,Technical Interview,2024-11-12,Rejected,Technical gap
124,40,Resume Screening,2024-06-30,Rejected,Profile not relevant
125,41,Resume Screening,2024-08-18,Rejected,Skill mismatch
126,42,Resume Screening,2024-04-25,Rejected,Skill mismatch
127,43,Resume Screening,2024-09-13,Rejected,Skill mismatch
128,44,Resume Screening,2024-11-02,Selected,
129,44,Technical Interview,2024-11-04,Selected,
130,44,Managerial Interview,2024-11-08,Rejected,Team fit issue
131,45,Resume Screening,2024-04-27,Rejected,Experience mismatch
132,46,Resume Screening,2024-09-09,Rejected,Skill mismatch
133,47,Resume Screening,2024-04-19,Selected,
134,47,Technical Interview,2024-04-25,Selected,
135,47,Managerial Interview,2024-04-28,Selected,
136,47,HR Interview,2024-05-05,Selected,
137,47,Offer Made,2024-05-12,Accepted,
138,47,Joined,2024-05-15,Joined,
139,48,Resume Screening,2024-12-01,Selected,
140,48,Technical Interview,2024-12-08,Selected,
141,48,Managerial Interview,2024-12-14,Selected,
142,48,HR Interview,2024-12-21,Rejected,Location constraint
143,49,Resume Screening,2024-08-22,Selected,
144,49,Technical Interview,2024-08-26,Selected,
145,49,Managerial Interview,2024-08-28,Rejected,Project mismatch
146,50,Resume Screening,2024-04-24,Rejected,Experience mismatch
147,51,Resume Screening,2024-02-18,Selected,
148,51,Technical Interview,2024-02-23,Selected,
149,51,Managerial Interview,2024-02-28,Selected,
150,51,HR Interview,2024-03-02,Selected,
151,51,Offer Made,2024-03-07,Accepted,
152,51,Joined,2024-03-12,Joined,
153,52,Resume Screening,2024-03-26,Selected,
154,52,Technical Interview,2024-03-29,Selected,
155,52,Managerial Interview,2024-04-03,Selected,
156,52,HR Interview,2024-04-09,Rejected,Notice period issue
157,53,Resume Screening,2024-09-09,Selected,
158,53,Technical Interview,2024-09-14,Selected,
159,53,Managerial Interview,2024-09-21,Selected,
160,53,HR Interview,2024-09-28,Rejected,Salary mismatch
161,54,Resume Screening,2024-03-06,Selected,
162,54,Technical Interview,2024-03-11,Selected,
163,54,Managerial Interview,2024-03-15,Selected,
164,54,HR Interview,2024-03-21,Selected,
165,54,Offer Made,2024-03-27,Declined,Better offer
166,55,Resume Screening,2024-02-15,Selected,
167,55,Technical Interview,2024-02-18,Rejected,Technical gap
168,56,Resume Screening,2024-03-12,Selected,
169,56,Technical Interview,2024-03-19,Selected,
170,56,Managerial Interview,2024-03-25,Selected,
171,56,HR Interview,2024-03-30,Selected,
